id,subject,number,answer,student_id
1059,언어,19,2,9
1060,언어,20,3,9
1061,언어,21,5,9
1062,언어,22,4,9
1063,언어,23,4,9
1064,언어,24,2,9
1065,언어,25,5,9
1066,언어,26,3,9
1067,언어,27,1,9
1068,언어,28,2,9
1069,언어,29,4,9
1070,언어,30,2,9
1071,언어,31,3,9
1072,언어,32,5,9
1073,언어,33,1,9
1074,언어,34,3,9
1075,언어,35,5,9
1076,언어,36,5,9
1077,언어,37,1,9
1078,언어,38,5,9
1079,언어,39,5,9
1080,언어,40,2,9
1081,자료,1,4,9
1082,자료,2,5,9
1083,자료,3,1,9
1084,자료,4,1,9
1085,자료,5,3,9
1086,자료,6,2,9
1087,자료,7,3,9
1088,자료,8,4,9
1089,자료,9,5,9
1090,자료,10,3,9
1091,자료,11,5,9
1092,자료,12,1,9
1093,자료,13,4,9
1094,자료,14,4,9
1095,자료,15,5,9
1096,자료,16,5,9
1097,자료,17,2,9
1098,자료,18,2,9
1099,자료,19,1,9
1100,자료,20,1,9
1101,자료,21,1,9
1102,자료,22,4,9
1103,자료,23,4,9
1104,자료,24,3,9
1105,자료,25,3,9
1106,자료,26,2,9
1107,자료,27,5,9
1108,자료,28,3,9
1109,자료,29,2,9
1110,자료,30,1,9
1111,자료,31,3,9
1112,자료,32,4,9
1113,자료,33,2,9
1114,자료,34,1,9
1115,자료,35,3,9
1116,자료,36,2,9
1117,자료,37,2,9
1118,자료,38,3,9
1119,자료,39,3,9
1120,자료,40,3,9
1121,상황,1,4,9
1122,상황,2,4,9
1123,상황,3,1,9
1124,상황,4,5,9
1125,상황,5,5,9
1126,상황,6,1,9
1127,상황,7,4,9
1128,상황,8,5,9
1129,상황,9,3,9
1130,상황,10,2,9
1131,상황,11,5,9
1132,상황,12,3,9
1133,상황,13,5,9
1134,상황,14,2,9
1135,상황,15,2,9
1136,상황,16,4,9
1137,상황,17,1,9
1138,상황,18,2,9
1139,상황,19,2,9
1140,상황,20,3,9
1141,상황,21,1,9
1142,상황,22,3,9
1143,상황,23,2,9
1144,상황,24,2,9
1145,상황,25,5,9
1146,상황,26,2,9
1147,상황,27,5,9
1148,상황,28,1,9
1149,상황,29,2,9
1150,상황,30,3,9
1151,상황,31,5,9
1152,상황,32,3,9
1153,상황,33,1,9
1154,상황,34,3,9
1155,상황,35,5,9
1156,상황,36,4,9
1157,상황,37,5,9
1158,상황,38,4,9
1159,상황,39,1,9
1160,상황,40,4,9
1161,헌법,1,3,11
1162,헌법,2,2,11
1163,헌법,3,1,11
1164,헌법,4,3,11
1165,헌법,5,4,11
1166,헌법,6,4,11
1167,헌법,7,2,11
1168,헌법,8,4,11
1169,헌법,9,2,11
1170,헌법,10,4,11
1171,헌법,11,1,11
1172,헌법,12,1,11
1173,헌법,13,2,11
1174,헌법,14,2,11
1175,헌법,15,4,11
1176,헌법,16,2,11
1177,헌법,17,2,11
1178,헌법,18,2,11
1179,헌법,19,4,11
1180,헌법,20,4,11
1181,헌법,21,1,11
1182,헌법,22,3,11
1183,헌법,23,1,11
1184,헌법,24,4,11
1185,헌법,25,1,11
1186,언어,1,3,11
1187,언어,2,2,11
1188,언어,3,5,11
1189,언어,4,4,11
1190,언어,5,5,11
1191,언어,6,2,11
1192,언어,7,5,11
1193,언어,8,2,11
1194,언어,9,1,11
1195,언어,10,4,11
1196,언어,11,4,11
1197,언어,12,3,11
1198,언어,13,4,11
1199,언어,14,3,11
1200,언어,15,1,11
1201,언어,16,3,11
1202,언어,17,1,11
1203,언어,18,5,11
1204,언어,19,2,11
1205,언어,20,3,11
1206,언어,21,5,11
1207,언어,22,4,11
1208,언어,23,4,11
1209,언어,24,2,11
1210,언어,25,5,11
1211,언어,26,4,11
1212,언어,27,1,11
1213,언어,28,2,11
1214,언어,29,4,11
1215,언어,30,2,11
1216,언어,31,3,11
1217,언어,32,3,11
1218,언어,33,1,11
1219,언어,34,5,11
1220,언어,35,4,11
1221,언어,36,3,11
1222,언어,37,5,11
1223,언어,38,5,11
1224,언어,39,5,11
